== defaults.h guards 214 names with a matching #ifndef/#define pair
== the primary's tm.h chain defines 14422 names (defaults.h body suppressed)
== control: defaults.h's own DWARF_CIE_DATA_ALIGNMENT is absent, as it must be
== multi-target-macros.h #undefs 79 names

NAME                                     VERDICT
ACCUM_TYPE_SIZE                          LIVE
ACCUMULATE_OUTGOING_ARGS                 REDIRECTED
ARG_POINTER_CFA_OFFSET                   LIVE
ARGS_GROW_DOWNWARD                       LIVE
ASM_COMMENT_START                        REDIRECTED
ASM_OUTPUT_ALIGNED_LOCAL_P               LIVE
ASM_OUTPUT_ASCII                         DEAD-LEAK
ASM_OUTPUT_DEBUG_LABEL                   LIVE
ASM_OUTPUT_DEF                           LIVE
ASM_OUTPUT_FUNCTION_LABEL                DEAD-LEAK
ASM_OUTPUT_INTERNAL_LABEL                LIVE
ASM_OUTPUT_LABEL                         LIVE
ASM_OUTPUT_LABELREF                      DEAD-LEAK
ASM_OUTPUT_SIZE_DIRECTIVE                LIVE
ASM_OUTPUT_TYPE_DIRECTIVE                LIVE
ASM_OUTPUT_WEAK_ALIAS                    LIVE
ASM_OUTPUT_WEAKREF                       LIVE
ASM_PREFERRED_EH_DATA_FORMAT             DEAD-LEAK
ATTRIBUTE_ALIGNED_VALUE                  REDIRECTED
BITS_PER_WORD                            LIVE
BOOL_TYPE_SIZE                           LIVE
BRANCH_COST                              DEAD-LEAK
CASE_VECTOR_PC_RELATIVE                  LIVE
CFA_FRAME_BASE_OFFSET                    LIVE
CHAR8_TYPE                               LIVE
CHAR_TYPE_SIZE                           LIVE
CLEAR_RATIO                              REDIRECTED
CLZ_DEFINED_VALUE_AT_ZERO                DEAD-LEAK
COLLECT2_OPTIONS_MAX_LENGTH              LIVE
COMPARE_MAX_PIECES                       LIVE
CONSTANT_ADDRESS_P                       DEAD-LEAK
CPLUSPLUS_CPP_SPEC                       DEAD-LEAK
CTZ_DEFINED_VALUE_AT_ZERO                DEAD-LEAK
DEBUGGER_REGNO                           REDIRECTED
DECIMAL128_TYPE_SIZE                     LIVE
DECIMAL32_TYPE_SIZE                      LIVE
DECIMAL64_TYPE_SIZE                      LIVE
DEFAULT_GDB_EXTENSIONS                   LIVE
DEFAULT_PCC_STRUCT_RETURN                DEAD-LEAK
DEFAULT_USE_CXA_ATEXIT                   LIVE
DWARF2_ADDR_SIZE                         LIVE
DWARF2_FRAME_REG_OUT                     LIVE
DWARF_CIE_DATA_ALIGNMENT                 LIVE
DWARF_FRAME_REGISTERS                    REDIRECTED
DWARF_FRAME_REGNUM                       LIVE
DWARF_FRAME_RETURN_COLUMN                REDIRECTED
DWARF_GNAT_ENCODINGS_DEFAULT             LIVE
DWARF_OFFSET_SIZE                        LIVE
DWARF_REG_TO_UNWIND_COLUMN               LIVE
DWARF_TYPE_SIGNATURE_SIZE                LIVE
DWARF_VERSION_DEFAULT                    LIVE
