MACRO                                USE  FILE   PPA   PPD   BND  DEF
ADDITIONAL_REGISTER_NAMES              3     1     0     1     0  BOTH
ADJUST_REG_ALLOC_ORDER                13     6     0     2     0  BOTH
ASM_DECLARE_FUNCTION_NAME              3     1     0     1     0  BOTH
ASM_OUTPUT_ADDR_DIFF_ELT               3     2     0     2     0  BOTH
ASM_OUTPUT_ALIGN                      31     7     0     0     0  BOTH
ASM_OUTPUT_FUNCTION_LABEL              2     2     0     1     0  i386-only
ASM_OUTPUT_LABELREF                    8     6     0     1     0  BOTH
ASM_OUTPUT_MAX_SKIP_ALIGN             10     3     0     3     0  BOTH
ASM_PREFERRED_EH_DATA_FORMAT          14     4     0     1     0  BOTH
BIGGEST_ALIGNMENT                     68    19     0     0     0  BOTH
BRANCH_COST                           22    10     0     1     0  BOTH
CASE_VECTOR_MODE                       9     4     0     0     0  BOTH
CASE_VECTOR_PC_RELATIVE                4     4     0     1     0  aarch64-only
CLZ_DEFINED_VALUE_AT_ZERO             23    12     0     1     0  BOTH
CONSTANT_ADDRESS_P                     8     7     0     1     0  BOTH
CTZ_DEFINED_VALUE_AT_ZERO             16    11     0     1     0  BOTH
DATA_ALIGNMENT                        15     5     0     1     0  BOTH
DEFAULT_PCC_STRUCT_RETURN              1     1     0     1     0  BOTH
DEFAULT_SIGNED_CHAR                    1     1     0     0     0  BOTH
EH_RETURN_DATA_REGNO                  16    10     0     3     0  BOTH
EH_RETURN_HANDLER_RTX                  4     3     0     1     0  aarch64-only
EH_RETURN_STACKADJ_RTX                 9     3     0     5     0  BOTH
ENABLE_X86_64_MFENTRY                  1     1     0     1     0  i386-only
EPILOGUE_USES                          2     2     0     1     0  BOTH
EXIT_IGNORE_STACK                      8     5     0     1     0  BOTH
FIXED_REGISTERS                       10     5     0     0     0  BOTH
FUNCTION_BOUNDARY                     12     7     0     0     0  BOTH
FUNCTION_PROFILER                      1     1     0     0     0  BOTH
HARD_REGNO_CALLER_SAVE_MODE            5     3     0     1     0  BOTH
HARD_REGNO_NREGS_HAS_PADDING           5     2     0     1     0  i386-only
HARD_REGNO_NREGS_WITH_PADDING          2     1     0     0     0  i386-only
HARD_REGNO_RENAME_OK                   8     3     0     1     0  i386-only
HAS_LONG_COND_BRANCH                   2     2     0     1     0  i386-only
HAS_LONG_UNCOND_BRANCH                 2     2     0     1     0  i386-only
HAVE_adddf3                            4     2     0     2     0  neither
HAVE_atomic_compare_and_swapdi         4     2     0     2     0  neither
HAVE_atomic_compare_and_swapsi         4     2     0     2     0  neither
HAVE_cpymemdi                          2     2     0     2     0  neither
HAVE_setmemdi                          1     1     0     1     0  neither
INCOMING_RETURN_ADDR_RTX               8     3     0     3     0  BOTH
INIT_CUMULATIVE_ARGS                  14     4     0     0     0  BOTH
LEGITIMATE_PIC_OPERAND_P               9     7     0     1     0  BOTH
LOAD_EXTEND_OP                        12     5     0     1     0  aarch64-only
LOCAL_ALIGNMENT                        4     2     0     1     0  BOTH
LOCAL_DECL_ALIGNMENT                   7     5     0     1     0  i386-only
MAX_BITSIZE_MODE_ANY_MODE             25     7     0     1    10  aarch64-only
MAX_BITS_PER_WORD                     23     5     0     1    11  BOTH
MAX_MOVE_MAX                          22     6     0     1     3  i386-only
MIN_UNITS_PER_WORD                     4     4     0     1     2  i386-only
NUM_MODES_FOR_MODE_SWITCHING           1     1     0     0     0  BOTH
NUM_UNSPEC_VALUES                      5     3     0     4     0  neither
NUM_UNSPECV_VALUES                    13     6     0     5     0  neither
OPTIMIZE_MODE_SWITCHING                6     1     0     3     0  BOTH
PIC_OFFSET_TABLE_REGNUM               20    12     0     1     1  i386-only
POINTER_SIZE                          74    35     0     1     1  BOTH
PROMOTE_MODE                           8     2     0     5     0  BOTH
REG_ALLOC_ORDER                       22     7     0     2     0  BOTH
REG_CLASS_CONTENTS                     8     5     0     0     0  BOTH
REG_CLASS_NAMES                        6     3     0     0     0  BOTH
REGISTER_NAMES                         6     4     0     0     0  BOTH
REGMODE_NATURAL_SIZE                  13    10     0     1     0  BOTH
RETURN_ADDR_RTX                        2     1     0     1     0  BOTH
REVERSE_CONDITION                      3     2     0     1     0  i386-only
REVERSIBLE_CC_MODE                     4     2     0     1     0  BOTH
SELECT_CC_MODE                        14     3     0     4     0  BOTH
SETUP_FRAME_ADDRESSES                  3     3     0     1     0  i386-only
SLOW_BYTE_ACCESS                       4     2     0     0     0  BOTH
STACK_CHECK_MOVING_SP                  5     4     0     1     0  i386-only
STACK_SAVEAREA_MODE                   12     4     0     1     0  BOTH
STACK_SIZE_MODE                        4     3     0     1     0  i386-only
TARGET_HAS_FMV_TARGET_ATTRIBUTE       47    15     0     1     0  aarch64-only
TARGET_PTRMEMFUNC_VBIT_LOCATION       11     5     0     1     0  BOTH
TRAMPOLINE_ALIGNMENT                   9     4     0     1     0  aarch64-only
UNITS_PER_WORD                       267    50     0     0     0  BOTH
VECTOR_STORE_FLAG_VALUE                6     1     0     3     0  BOTH
