ASM_DECLARE_OBJECT_NAME	45	6	2	PRESENCE	MINORITY	2	(FILE,NAME,DECL) darwin_asm_declare_object_name ((FILE), (NAME), (DECL))	(FILE,NAME,DECL) do { HOST_WIDE_INT size; if (USE_GNU_UNIQUE_OBJECT && DECL_ONE_ONLY (DECL) && (!DECL_ARTIFICIAL (DECL) || !TREE_READONLY (DECL))) ASM_OUTPUT_TYPE_DIRECTIVE (FILE, NAME, "gnu_unique_object"); else ASM_OUTPUT_TYPE_DIRECTIVE (FILE, NAME, "object"); size_directive_output = 0; if (!flag_inhibit_size_directive && (DECL) && DECL_SIZE (DECL)) { size_directive_output = 1; size = tree_to_uhwi (DECL_SIZE_UNIT (DECL)); ASM_OUTPUT_SIZE_DIRECTIVE (FILE, NAME, size); } ASM_OUTPUT_LABEL (FILE, NAME); } while (0)
REGISTER_MOVE_COST	6	4	42	PRESENCE	majority	1	<undefined>	<undefined>
CL_CXX	48	1	48	agree	majority	1	(1U << 5)	(1U << 5)
DARWIN_PPC	2	2	1	PRESENCE	MINORITY	1	0	<undefined>
DARWIN_X86	2	2	1	PRESENCE	MINORITY	1	1	<undefined>
IFCVT_MODIFY_TESTS	1	1	47	PRESENCE	majority	2	<undefined>	<undefined>
MAX_BITS_PER_WORD	48	3	10	VALUE	MINORITY	1	64	64
STACK_ADDRESS_OFFSET	1	1	47	PRESENCE	majority	3	<undefined>	<undefined>
IFCVT_MODIFY_CANCEL	1	1	47	PRESENCE	majority	2	<undefined>	<undefined>
ASM_OUTPUT_ADDR_VEC	4	4	44	PRESENCE	majority	4	<undefined>	<undefined>
SUPPORTS_ONE_ONLY	48	2	46	VALUE	majority	1	1	1
TARGET_VXWORKS_RTP	7	2	5	PRESENCE	MINORITY	1	((vxworks_flags & OPTION_MASK_VXWORKS_RTP) != 0)	false
TARGET_COFF	48	1	48	agree	majority	1	0	0
PTRDIFF_TYPE	48	1	48	CONVERTED	majority	1	(targetm_cdata.ptrdiff_type)	(targetm_cdata.ptrdiff_type)
LONG_LONG_FRACT_TYPE_SIZE	48	2	45	VALUE	majority	1	(BITS_PER_UNIT * 8)	(BITS_PER_UNIT * 8)
IFCVT_MODIFY_INSN	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
GCC_INSN_FLAGS_H	48	1	48	agree	majority	1		
