SAME aarch64 c=[aarch64-c.o ] cxx=[aarch64-c.o ] alltriple_cxx=[aarch64-c.o glibc-c.o]
SAME alpha c=[ ] cxx=[ ] alltriple_cxx=[ glibc-c.o]
SAME arc c=[arc-c.o ] cxx=[arc-c.o ] alltriple_cxx=[arc-c.o default-c.o]
SAME arm c=[arm-c.o ] cxx=[arm-c.o ] alltriple_cxx=[arm-c.o default-c.o]
SAME avr c=[avr-c.o ] cxx=[avr-c.o ] alltriple_cxx=[avr-c.o default-c.o]
SAME bfin c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME bpf c=[bpf-c.o ] cxx=[bpf-c.o ] alltriple_cxx=[bpf-c.o default-c.o]
SAME c6x c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME cris c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME csky c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME epiphany c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME fr30 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME frv c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME ft32 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME gcn c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME h8300 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME i386 c=[i386-c.o ] cxx=[i386-c.o ] alltriple_cxx=[i386-c.o glibc-c.o]
SAME ia64 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME iq2000 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME lm32 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME m32r c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME m68k c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME mcore c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME microblaze c=[microblaze-c.o ] cxx=[microblaze-c.o ] alltriple_cxx=[ microblaze-c.o default-c.o]
SAME mips c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME mmix c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME mn10300 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME moxie c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME msp430 c=[msp430-c.o ] cxx=[msp430-c.o ] alltriple_cxx=[msp430-c.o default-c.o]
SAME nds32 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME nvptx c=[nvptx-c.o ] cxx=[nvptx-c.o ] alltriple_cxx=[nvptx-c.o default-c.o]
SAME or1k c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME pa c=[ ] cxx=[ ] alltriple_cxx=[ glibc-c.o]
SAME pdp11 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME pru c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME riscv c=[ ] cxx=[ ] alltriple_cxx=[ glibc-c.o]
SAME rl78 c=[rl78-c.o ] cxx=[rl78-c.o ] alltriple_cxx=[rl78-c.o default-c.o]
SAME rs6000 c=[rs6000-c.o ] cxx=[rs6000-c.o ] alltriple_cxx=[ glibc-c.o rs6000-c.o]
SAME rx c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME s390 c=[s390-c.o ] cxx=[s390-c.o ] alltriple_cxx=[ glibc-c.o s390-c.o]
SAME sh c=[sh-c.o ] cxx=[sh-c.o ] alltriple_cxx=[ default-c.o sh-c.o]
SAME sparc c=[sparc-c.o ] cxx=[sparc-c.o ] alltriple_cxx=[sparc-c.o glibc-c.o]
SAME v850 c=[v850-c.o ] cxx=[v850-c.o ] alltriple_cxx=[v850-c.o default-c.o]
SAME vax c=[ ] cxx=[ ] alltriple_cxx=[ glibc-c.o]
SAME visium c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME xstormy16 c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
SAME xtensa c=[ ] cxx=[ ] alltriple_cxx=[ default-c.o]
